player_id,first_name,last_name,full_name,team_abbreviation
1630702,Jaden,Hardy,Jaden Hardy,DAL
1630619,Moussa,Cisse,Moussa Cisse,DAL
1630314,Brandon,Williams,Brandon Williams,DAL
1630230,Naji,Marshall,Naji Marshall,DAL
1629023,P.J.,Washington,P.J. Washington,DAL
1628997,Caleb,Martin,Caleb Martin,DAL
1626156,D'Angelo,Russell,D'Angelo Russell,DAL
203939,Dwight,Powell,Dwight Powell,DAL
203076,Anthony,Davis,Anthony Davis,DAL
202691,Klay,Thompson,Klay Thompson,DAL
201942,DeMar,DeRozan,DeMar DeRozan,SAC
1641706,Brandon,Miller,Brandon Miller,CHA
1630163,LaMelo,Ball,LaMelo Ball,CHA
203954,Joel,Embiid,Joel Embiid,PHI
1631169,Josh,Minott,Josh Minott,BOS
1630573,Sam,Hauser,Sam Hauser,BOS
1641737,Adem,Bona,Adem Bona,PHI
1631230,Dominick,Barlow,Dominick Barlow,PHI
1627759,Jaylen,Brown,Jaylen Brown,BOS
1630178,Tyrese,Maxey,Tyrese Maxey,PHI
1630202,Payton,Pritchard,Payton Pritchard,BOS
1629014,Anfernee,Simons,Anfernee Simons,BOS
1629656,Quentin,Grimes,Quentin Grimes,PHI
1642348,Justin,Edwards,Justin Edwards,PHI
1629674,Neemias,Queta,Neemias Queta,BOS
1628401,Derrick,White,Derrick White,BOS
1642845,VJ,Edgecombe,VJ Edgecombe,PHI
1630214,Xavier,Tillman,Xavier Tillman,BOS
1628449,Chris,Boucher,Chris Boucher,BOS
1631133,Jabari,Walker,Jabari Walker,PHI
203083,Andre,Drummond,Andre Drummond,PHI
1630568,Luka,Garza,Luka Garza,BOS
1626162,Kelly,Oubre Jr.,Kelly Oubre Jr.,PHI
1630217,Desmond,Bane,Desmond Bane,ORL
1642382,Branden,Carlson,Branden Carlson,OKC
1631172,Ousmane,Dieng,Ousmane Dieng,OKC
1643007,Taelon,Peter,Taelon Peter,IND
1642277,Johnny,Furphy,Johnny Furphy,IND
1641767,Ben,Sheppard,Ben Sheppard,IND
1641716,Jarace,Walker,Jarace Walker,IND
1631097,Bennedict,Mathurin,Bennedict Mathurin,IND
1630643,Jay,Huff,Jay Huff,IND
1630543,Isaiah,Jackson,Isaiah Jackson,IND
1630174,Aaron,Nesmith,Aaron Nesmith,IND
1630167,Obi,Toppin,Obi Toppin,IND
1629614,Andrew,Nembhard,Andrew Nembhard,IND
1628396,Tony,Bradley,Tony Bradley,IND
1627783,Pascal,Siakam,Pascal Siakam,IND
1629661,Cameron,Johnson,Cameron Johnson,DEN
202685,Jonas,Valančiūnas,Jonas Valančiūnas,DEN
1642461,Spencer,Jones,Spencer Jones,DEN
1631128,Christian,Braun,Christian Braun,DEN
203999,Nikola,Jokić,Nikola Jokić,DEN
203501,Tim,Hardaway Jr.,Tim Hardaway Jr.,DEN
1627750,Jamal,Murray,Jamal Murray,DEN
203932,Aaron,Gordon,Aaron Gordon,DEN
1631212,Peyton,Watson,Peyton Watson,DEN
1628971,Bruce,Brown,Bruce Brown,DEN
1641724,Jett,Howard,Jett Howard,ORL
1642854,Asa,Newell,Asa Newell,ATL
1642368,N'Faly,Dante,N'Faly Dante,ATL
1630249,Vít,Krejčí,Vít Krejčí,ATL
1642450,Daniss,Jenkins,Daniss Jenkins,DET
1641790,PJ,Hall,PJ Hall,MEM
1641713,GG,Jackson,GG Jackson,MEM
1628404,Josh,Hart,Josh Hart,NYK
1642443,Jahmir,Young,Jahmir Young,MIA
1642352,Keshad,Johnson,Keshad Johnson,MIA
1642873,Amari,Williams,Amari Williams,BOS
1642864,Hugo,González,Hugo González,BOS
1641775,Jordan,Walsh,Jordan Walsh,BOS
1631248,Baylor,Scheierman,Baylor Scheierman,BOS
1642404,Chaz,Lanier,Chaz Lanier,DET
1630631,Jose,Alvarado,Jose Alvarado,NOP
1642403,Isaac,Jones,Isaac Jones,SAC
1627734,Domantas,Sabonis,Domantas Sabonis,SAC
1641871,Duop,Reath,Duop Reath,POR
1641712,Rayan,Rupert,Rayan Rupert,POR
1642866,Joan,Beringer,Joan Beringer,MIN
1642265,Rob,Dillingham,Rob Dillingham,MIN
1631159,Leonard,Miller,Leonard Miller,MIN
1630548,Johnny,Juzang,Johnny Juzang,MIN
204060,Joe,Ingles,Joe Ingles,MIN
1642355,Bronny,James,Bronny James,LAL
1642261,Dalton,Knecht,Dalton Knecht,LAL
1631132,Christian,Koloko,Christian Koloko,LAL
1631218,Trayce,Jackson-Davis,Trayce Jackson-Davis,GSW
1630541,Moses,Moody,Moses Moody,GSW
1630311,Pat,Spencer,Pat Spencer,GSW
1630692,Jordan,Goodwin,Jordan Goodwin,PHX
1642853,Rasheer,Fleming,Rasheer Fleming,PHX
1642863,Khaman,Maluach,Khaman Maluach,PHX
1642859,Jase,Richardson,Jase Richardson,ORL
1641763,Julian,Phillips,Julian Phillips,CHI
1631216,Caleb,Houstan,Caleb Houstan,ATL
1631210,Jacob,Toppin,Jacob Toppin,ATL
203486,Mason,Plumlee,Mason Plumlee,CHA
1642484,RayJ,Dennis,RayJ Dennis,IND
1630164,James,Wiseman,James Wiseman,IND
1630192,Zeke,Nnaji,Zeke Nnaji,DEN
1629618,Jalen,Pickett,Jalen Pickett,DEN
1630587,Isaiah,Livers,Isaiah Livers,PHX
1631124,Julian,Strawther,Julian Strawther,DEN
1641747,DaRon,Holmes II,DaRon Holmes II,DEN
1642862,Liam,McNeeley,Liam McNeeley,CHA
1626192,Pat,Connaughton,Pat Connaughton,CHA
1641813,Mark,Sears,Mark Sears,MIL
